DT_NOTIFIC;SG_UF_NOT;ID_MUNICIP;BRANCA;PRETA;AMARELA;PARDA;INDIGENA;IGNORADO_RACA;MASCULINO;IGNORADO_SEXO;FEMININO;1TRIMESTRE;2TRIMESTRE;3TRIMESTRE;IDADE_GESTANTE_IGNORADA;NAO;NAO_APLICA;IGNORADO_GESTANTE;LABORATORIAL;CLINICO_EPIDEMIOLOGICO;CLINICO;IGNORADO
05/2015;MG;PARA DE MINAS;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2010;MG;PARA DE MINAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
07/2013;MG;PARA DE MINAS;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
07/2018;MG;PARA DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2009;MG;PARA DE MINAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2017;MG;PARA DE MINAS;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0
09/2013;MG;PARA DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
09/2017;MG;PARA DE MINAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
12/2018;MG;PARA DE MINAS;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
05/2014;MG;PARACATU;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2018;MG;PARACATU;0;0;0;2;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
06/2018;MG;PARACATU;0;2;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
07/2009;MG;PARACATU;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2013;MG;PARACATU;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
07/2014;MG;PARACATU;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2009;MG;PARACATU;2;0;0;3;0;2;5;0;2;0;0;0;0;3;3;1;1;0;0;6
09/2009;MG;PARACATU;0;0;0;3;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;3
09/2014;MG;PARACATU;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
09/2017;MG;PARACATU;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
08/2009;MG;PARAGUACU;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2009;MG;PASSA QUATRO;1;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2
03/2015;MG;PASSOS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
04/2010;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
04/2013;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2018;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2009;MG;PASSOS;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0
06/2012;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2013;MG;PASSOS;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
06/2017;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2018;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2011;MG;PASSOS;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2012;MG;PASSOS;3;0;0;0;0;1;3;0;1;0;0;0;0;3;1;0;4;0;0;0
07/2013;MG;PASSOS;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;2;0;0;0
07/2018;MG;PASSOS;2;0;0;1;0;0;1;0;2;0;0;0;0;1;2;0;2;0;0;1
08/2009;MG;PASSOS;2;0;0;0;0;1;2;0;1;1;0;1;0;0;1;0;2;0;0;1
08/2010;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2013;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2018;MG;PASSOS;1;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;1
09/2009;MG;PASSOS;3;0;0;0;0;0;2;0;1;0;0;0;0;2;1;0;3;0;0;0
10/2009;MG;PASSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
11/2014;MG;PASSOS;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
01/2018;MG;PATOS DE MINAS;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
02/2014;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
03/2011;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
03/2012;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
04/2010;MG;PATOS DE MINAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
04/2011;MG;PATOS DE MINAS;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;2;0;0;0
04/2013;MG;PATOS DE MINAS;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1
04/2014;MG;PATOS DE MINAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
04/2015;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
04/2018;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
05/2013;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2014;MG;PATOS DE MINAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
05/2016;MG;PATOS DE MINAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
05/2018;MG;PATOS DE MINAS;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2012;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2014;MG;PATOS DE MINAS;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2017;MG;PATOS DE MINAS;1;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
06/2018;MG;PATOS DE MINAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
07/2009;MG;PATOS DE MINAS;3;0;0;0;0;0;1;0;2;0;0;0;0;1;2;0;2;0;0;1
07/2010;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2012;MG;PATOS DE MINAS;1;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
07/2013;MG;PATOS DE MINAS;1;0;0;1;0;0;2;0;0;0;0;0;0;1;1;0;2;0;0;0
07/2014;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2015;MG;PATOS DE MINAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2009;MG;PATOS DE MINAS;3;2;0;0;0;0;5;0;0;0;0;0;0;3;2;0;4;0;0;1
08/2011;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2013;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2014;MG;PATOS DE MINAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
08/2015;MG;PATOS DE MINAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
09/2009;MG;PATOS DE MINAS;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
09/2013;MG;PATOS DE MINAS;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
12/2015;MG;PATOS DE MINAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
02/2018;MG;PATROCINIO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2010;MG;PATROCINIO;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0
05/2017;MG;PATROCINIO;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
06/2018;MG;PATROCINIO;3;0;0;0;0;0;2;0;1;0;0;0;0;1;2;0;2;0;1;0
07/2018;MG;PATROCINIO;1;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
08/2009;MG;PATROCINIO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
08/2010;MG;PATROCINIO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
09/2009;MG;PATROCINIO;13;1;1;0;0;1;3;1;12;0;0;0;0;2;12;2;3;0;0;13
10/2009;MG;PATROCINIO;0;0;0;0;0;7;5;0;2;0;0;0;0;0;3;4;3;0;0;4
10/2015;MG;PATROCINIO;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
11/2009;MG;PATROCINIO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
12/2009;MG;PATROCINIO;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0
12/2017;MG;PATROCINIO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
09/2009;MG;PAULISTAS;1;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2
08/2009;MG;PEDRA DO INDAIA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2012;MG;PEDRALVA;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
06/2013;MG;PEDRO LEOPOLDO;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
07/2013;MG;PEDRO LEOPOLDO;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
08/2009;MG;PEDRO LEOPOLDO;3;0;0;5;0;5;8;0;5;0;0;0;0;5;6;2;1;12;0;0
08/2013;MG;PEDRO LEOPOLDO;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
09/2009;MG;PEDRO LEOPOLDO;3;0;0;1;0;3;6;0;1;0;0;0;0;2;3;2;0;7;0;0
08/2009;MG;PEQUERI;3;0;0;0;0;0;2;0;1;0;0;0;0;2;1;0;0;0;0;3
09/2009;MG;PEQUERI;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;2
08/2009;MG;PERDIZES;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0
08/2009;MG;PERDOES;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;2
07/2018;MG;PIRAPETINGA;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
01/2014;MG;PIRAPORA;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
05/2018;MG;PIRAPORA;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
07/2015;MG;PIRAPORA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2018;MG;PIRAPORA;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
08/2009;MG;PIRAPORA;1;1;0;1;0;1;3;0;1;0;0;0;0;2;2;0;4;0;0;0
01/2014;MG;PIUMHI;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2017;MG;PIUMHI;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
01/2018;MG;POCOS DE CALDAS;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0
03/2014;MG;POCOS DE CALDAS;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
03/2017;MG;POCOS DE CALDAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
04/2014;MG;POCOS DE CALDAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
05/2013;MG;POCOS DE CALDAS;3;0;0;0;0;0;2;0;1;0;0;0;0;2;1;0;1;0;2;0
05/2014;MG;POCOS DE CALDAS;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
05/2015;MG;POCOS DE CALDAS;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2009;MG;POCOS DE CALDAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2012;MG;POCOS DE CALDAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
06/2013;MG;POCOS DE CALDAS;3;0;0;0;0;0;1;0;2;0;0;0;0;0;3;0;3;0;0;0
06/2014;MG;POCOS DE CALDAS;2;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;2;0;0;0
07/2009;MG;POCOS DE CALDAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
07/2010;MG;POCOS DE CALDAS;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
07/2013;MG;POCOS DE CALDAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2014;MG;POCOS DE CALDAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2018;MG;POCOS DE CALDAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2009;MG;POCOS DE CALDAS;1;0;0;1;0;1;1;0;2;0;0;1;0;0;2;0;3;0;0;0
08/2013;MG;POCOS DE CALDAS;1;0;0;0;0;1;1;0;1;0;0;0;0;0;2;0;1;0;1;0
09/2009;MG;POCOS DE CALDAS;2;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;2;2;0;0
09/2013;MG;POCOS DE CALDAS;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0
10/2009;MG;POCOS DE CALDAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
11/2013;MG;POCOS DE CALDAS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
11/2017;MG;POCOS DE CALDAS;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2009;MG;POMPEU;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
09/2009;MG;POMPEU;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2
10/2009;MG;POMPEU;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
03/2017;MG;PONTE NOVA;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;2;0;0;0
04/2018;MG;PONTE NOVA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2013;MG;PONTE NOVA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2015;MG;PONTE NOVA;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
05/2017;MG;PONTE NOVA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2017;MG;PONTE NOVA;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
07/2013;MG;PONTE NOVA;0;1;0;2;0;0;3;0;0;0;0;0;0;1;2;0;1;0;1;1
07/2015;MG;PONTE NOVA;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
07/2018;MG;PONTE NOVA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
08/2013;MG;PONTE NOVA;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;2;0;0
08/2014;MG;PONTE NOVA;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
08/2018;MG;PONTE NOVA;0;1;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0
09/2013;MG;PONTE NOVA;1;1;0;1;0;0;1;0;2;0;0;0;0;1;2;0;0;1;2;0
09/2015;MG;PONTE NOVA;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
09/2018;MG;PONTE NOVA;0;0;0;2;0;0;1;0;1;0;0;0;0;0;2;0;1;0;1;0
10/2017;MG;PONTE NOVA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
10/2018;MG;PONTE NOVA;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
11/2017;MG;PONTE NOVA;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0
12/2009;MG;PONTE NOVA;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
12/2013;MG;PONTE NOVA;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
12/2017;MG;PONTE NOVA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2009;MG;PONTO DOS VOLANTES;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0
01/2018;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
02/2015;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
02/2018;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
03/2015;MG;POUSO ALEGRE;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
03/2018;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
04/2013;MG;POUSO ALEGRE;3;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;3;0;0;0
04/2014;MG;POUSO ALEGRE;3;0;0;0;0;1;2;0;2;0;0;0;0;2;2;0;4;0;0;0
04/2018;MG;POUSO ALEGRE;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;1;0;0
05/2012;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2013;MG;POUSO ALEGRE;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
05/2017;MG;POUSO ALEGRE;2;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;2;0;0;0
05/2018;MG;POUSO ALEGRE;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
06/2009;MG;POUSO ALEGRE;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
06/2012;MG;POUSO ALEGRE;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0
06/2013;MG;POUSO ALEGRE;4;0;0;0;0;1;1;0;4;0;0;0;0;1;4;0;5;0;0;0
06/2014;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2018;MG;POUSO ALEGRE;4;0;0;0;0;0;1;0;3;0;0;0;0;1;3;0;4;0;0;0
07/2009;MG;POUSO ALEGRE;7;0;0;0;0;1;4;0;4;0;0;0;0;3;4;1;2;1;0;5
07/2012;MG;POUSO ALEGRE;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
07/2013;MG;POUSO ALEGRE;2;0;0;1;0;0;0;0;3;0;0;0;0;0;3;0;0;2;1;0
07/2014;MG;POUSO ALEGRE;3;0;0;0;0;0;1;0;2;0;0;0;0;1;2;0;2;0;0;1
07/2015;MG;POUSO ALEGRE;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2018;MG;POUSO ALEGRE;5;0;0;0;0;0;3;0;2;0;0;0;0;3;2;0;5;0;0;0
08/2009;MG;POUSO ALEGRE;3;0;0;0;0;0;1;0;2;0;0;0;0;1;2;0;3;0;0;0
08/2013;MG;POUSO ALEGRE;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
08/2014;MG;POUSO ALEGRE;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
08/2018;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
09/2009;MG;POUSO ALEGRE;20;0;0;2;0;0;12;0;10;0;0;0;0;11;10;1;2;0;0;20
09/2013;MG;POUSO ALEGRE;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
09/2018;MG;POUSO ALEGRE;2;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;2;0;0;0
10/2009;MG;POUSO ALEGRE;1;0;0;0;0;1;2;0;0;0;0;1;0;0;0;1;0;0;0;2
10/2012;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
10/2013;MG;POUSO ALEGRE;2;0;1;1;0;0;1;0;3;0;0;0;0;1;3;0;2;2;0;0
11/2017;MG;POUSO ALEGRE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
05/2009;MG;PRATA;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
09/2009;MG;PRATA;3;0;0;0;0;0;2;0;1;0;0;0;0;2;1;0;0;0;0;3
05/2018;MG;RAPOSOS;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
06/2013;MG;RAPOSOS;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
07/2018;MG;RAPOSOS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
08/2009;MG;RAPOSOS;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0
06/2018;MG;RECREIO;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
05/2017;MG;RESPLENDOR;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
06/2018;MG;RESPLENDOR;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2017;MG;RESPLENDOR;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
08/2017;MG;RESPLENDOR;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
09/2017;MG;RESPLENDOR;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
11/2017;MG;RESPLENDOR;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
04/2017;MG;RIBEIRAO DAS NEVES;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0
06/2012;MG;RIBEIRAO DAS NEVES;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
06/2013;MG;RIBEIRAO DAS NEVES;0;1;0;0;0;2;2;0;1;0;0;0;0;2;1;0;3;0;0;0
07/2012;MG;RIBEIRAO DAS NEVES;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2013;MG;RIBEIRAO DAS NEVES;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2009;MG;RIBEIRAO DAS NEVES;0;0;0;4;0;0;3;0;1;0;0;0;0;2;2;0;1;3;0;0
08/2012;MG;RIBEIRAO DAS NEVES;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2017;MG;RIBEIRAO DAS NEVES;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
11/2015;MG;RIBEIRAO DAS NEVES;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
11/2018;MG;RIBEIRAO DAS NEVES;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
12/2011;MG;RIBEIRAO DAS NEVES;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
09/2009;MG;RIO ACIMA;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
07/2014;MG;RIO CASCA;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2012;MG;RIO CASCA;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
09/2013;MG;RIO CASCA;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
08/2013;MG;RIO PARANAIBA;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
09/2009;MG;RIO PIRACICABA;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
09/2009;MG;RIO POMBA;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
06/2009;MG;RIO VERMELHO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
07/2009;MG;RIO VERMELHO;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2009;MG;RIO VERMELHO;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2009;MG;SABARA;3;2;0;0;0;5;8;0;2;0;1;0;0;4;4;1;0;10;0;0
09/2009;MG;SABARA;3;1;0;1;0;1;3;0;3;0;0;0;0;0;4;2;1;5;0;0
10/2018;MG;SABARA;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1
04/2018;MG;SACRAMENTO;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;2;0;0
06/2017;MG;SACRAMENTO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2018;MG;SACRAMENTO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
07/2013;MG;SACRAMENTO;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2009;MG;SACRAMENTO;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
09/2009;MG;SACRAMENTO;3;1;0;0;0;1;1;0;4;0;0;0;0;1;4;0;5;0;0;0
10/2009;MG;SACRAMENTO;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
08/2009;MG;SANTA BARBARA;4;1;0;2;0;4;5;0;6;0;1;1;0;2;7;0;0;0;0;11
09/2009;MG;SANTA BARBARA;21;5;3;22;2;29;50;0;32;4;0;1;0;27;48;2;0;0;0;82
10/2009;MG;SANTA BARBARA;2;1;0;3;0;3;7;0;2;1;1;0;0;3;3;1;0;0;0;9
02/2014;MG;SANTA HELENA DE MINAS;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
06/2012;MG;SANTA LUZIA;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0
06/2013;MG;SANTA LUZIA;2;0;0;2;0;0;3;0;1;0;0;0;0;2;2;0;3;0;1;0
